Sample	AlignsTo	IsMaternal	Mother
melXsim_cyc14C_rep1_sl01_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl01_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl02_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl02_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl03_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl03_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl04_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl04_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl05_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl05_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl06_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl06_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl07_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl07_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl08_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl08_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl09_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl09_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl10_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl10_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl11_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl11_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl12_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl12_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl13_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl13_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl14_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl14_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl15_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl15_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl16_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl16_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl17_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl17_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl18_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl18_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl19_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl19_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl20_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl20_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl21_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl21_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl22_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl22_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl23_alt	alt	FALSE	mel
melXsim_cyc14C_rep1_sl23_ref	ref	TRUE	mel
melXsim_cyc14C_rep1_sl24_alt	alt	FALSE	mel
